NAME,ADDRESS,ADDRESS2,LAT,LNG,Tigerline ID,Tigerline ID side
West Oahu Community FCU,"86-120 Farrington Hwy, Suite 205, Waianae, Hawaii, 96792--307","86-120 FARRINGTON HWY, WAIANAE, HI, 96792",-158.18507,21.436342,203220537,R
Council for Native Hawaiian Advancement,"2149 Lauwiliwili St., Ste. 200, Kapolei, Hawaii, 96707--184","2149 LAUWILIWILI ST, KAPOLEI, HI, 96707",-158.09146,21.318827,635596978,L
Hawaii Federal Credit Union,"1244 Kaumualii Street, Honolulu, Hawaii, 96817--440","1244 KAUMUALII ST, HONOLULU, HI, 96817",-157.8731,21.323261,203234975,R
HHOC Mortgage,"1259 Aala St #201, Honolulu, Hawaii, 96817-3962","1259 AALA ST, HONOLULU, HI, 96817",-157.86154,21.316238,203235907,R
Hawaii Community Reinvestment Corporation,"1001 Bishop Street Suite 2400, Honolulu, Hawaii, 96813","1001 BISHOP ST, HONOLULU, HI, 96813",-157.86145,21.308546,203236014,R
Hawaii Community Lending Inc,"200 N Vineyard Boulevard, Suite A300, Honolulu, Hawaii, 96817","200 N VINEYARD BLVD, HONOLULU, HI, 96817",-157.85973,21.316786,203235911,R
Hawaii Central Federal Credit Union,"681 S. King Street, Honolulu, Hawaii, 96813--301","681 S KING ST, HONOLULU, HI, 96813",-157.85393,21.303324,203236423,R
Hawaii Habitat for Humanity Association,"2051 Young St.  #82, Honolulu, Hawaii, 96826--223","2051 YOUNG ST, HONOLULU, HI, 96826",-157.82881,21.295362,203241651,R
Lei Hoolaha,"64-1043 Hi'iaka Street, Kamuela, Hawaii, 96743--164","64-1043 HIIAKA ST, KAMUELA, HI, 96743",-155.65303,20.017002,203024773,R
BIG ISLAND FEDERAL CREDIT UNION,"66 LONO STREET, HILO, Hawaii, 96720--414","66 LONO ST, HILO, HI, 96720",-155.0774,19.708189,614313849,R
"Cook Inlet Lending Center, Inc.","3510 Spenard Road, Suite 102, Anchorage, Alaska, 99503--377","3510 SPENARD RD, ANCHORAGE, AK, 99503",-149.90872,61.188484,190796951,R
"Alaska Growth Capital BIDCO, Inc.","3301 C Street, Suite 100, Anchorage, Alaska, 99503--596","3301 C ST, ANCHORAGE, AK, 99503",-149.8866,61.19063,190797754,L
"Community Financial, Inc.","520 E. 32nd Avenue, Anchorage, AK, 99503","520 E 32ND AVE, ANCHORAGE, AK, 99503",-149.87566,61.19208,605177694,R
Tongass Federal Credit Union,"2000 Tongass Avenue, Ketchikan, Alaska, 99901--604","2000 TONGASS AVE, KETCHIKAN, AK, 99901",-131.66985,55.349133,190768849,L
Taala Fund,"4471 St Rte 109, Pacific Beach, Washington, 98571--990","4471 STATE RTE 109, PACIFIC BEACH, WA, 98571",-124.197716,47.204582,180625186,L
Arcata Economic Development Corporation,"707 K Street, Eureka, California, 95501","707 K ST, EUREKA, CA, 95501",-124.16004,40.800976,113043325,R
The Alliance CDFI,"15540 US Highway 101 N, Klamath, California, 95548--000","15540 US HWY 101, KLAMATH, CA, 95548",-124.10925,41.61779,113168735,L
Newrizons Federal Credit Union,"120 Firman Street, Hoquiam, Washington, 98550-2006","120 FIRMAN ST, HOQUIAM, WA, 98550",-123.90279,46.980114,180580334,L
Craft3,"42 7th Street, Suite 100, Astoria, Oregon, 97103","42 7TH ST, ASTORIA, OR, 97103",-123.83562,46.190994,159246787,R
Community Credit Union of Southern Humboldt,"757 Redwood Drive, Garberville, California, 95542--311","757 REDWOOD DR, GARBERVILLE, CA, 95542",-123.79492,40.1009,112976769,R
Economic Development and Financing Corporation,"205 N. Bush Street Room 252, Ukiah, California, 95482","205 N BUSH ST, UKIAH, CA, 95482",-123.21165,39.150063,67267112,R
Mendo Lake Credit Union,"526 S. State Street, Ukiah, CA, 95482","526 S STATE ST, UKIAH, CA, 95482",-123.20699,39.146828,67318196,L
Chehalis Tribal Loan Fund,"420 Howanut Road, Oakville, Washington, 98568--053","420 HOWANUT RD, OAKVILLE, WA, 98568",-123.168625,46.81545,180606733,L
Peninsula Community Federal Credit Union,"521 W Railroad Avenue, Shelton, Washington, 98584--352","521 W RAILROAD AVE, SHELTON, WA, 98584",-123.1052,47.213245,180853439,L
SELCO Community Credit Union,"1050 High Street, Eugene, Oregon, 97401--325","1050 HIGH ST, EUGENE, OR, 97401",-123.08817,44.048534,605385267,R
Community LendingWorks,"212 Main Street, Springfield, Oregon, 97477-5370","212 MAIN ST, SPRINGFIELD, OR, 97477",-123.02308,44.046196,178234706,L
Community and Shelter Assistance Corporation,"20508 SW Roy Rogers Road  Suite 155, Sherwood, Oregon, 97140--993","20508 ROY RODGERS RD, SHERWOOD, OR, 97140",-122.84636,45.371414,637919154,L
Community Housing Fund,"3700 SW Murray Blvd. Suite 190, Beaverton, Oregon, 97005--237","3700 SW MURRAY BLVD, BEAVERTON, OR, 97005",-122.82612,45.49312,158185128,L
"Westwater Financial, Inc.","8979 Conde Lane, Windsor, California, 95492--895","8979 CONDE LN, WINDSOR, CA, 95492",-122.80882,38.546436,604983569,L
Network for Oregon Affordable Housing,"1020 SW Taylor Street  Suite #585, Portland, Oregon, 97205--251","1020 SW TAYLOR ST, PORTLAND, OR, 97205",-122.683075,45.51874,157499056,L
Cascade Forest Products Credit Union,"702 Jefferson Street, Vancouver, Washington, 98660--304","702 JEFFERSON ST, VANCOUVER, WA, 98660",-122.6815,45.6266,158322157,L
Albina Community Bank,"430 NW 10th Ave, Ste 101, Portland, Oregon, 97209--311","430 NW 10TH AVE, PORTLAND, OR, 97209",-122.68122,45.526318,157573667,R
Trailhead Federal Credit Union,"221 NW Second Ave, Portland, Oregon, 97209--395","221 NW 2ND AVE, PORTLAND, OR, 97209",-122.67243,45.524742,157504605,L
Micro Enterprise Services of Oregon,"4008 NE MLK Jr. Blvd, Portland, Oregon, 97212--111","4008 NE M L KING BLVD, PORTLAND, OR, 97212",-122.661545,45.552254,157504077,R
Point West Credit Union,"718 NE 12th Ave, Portland, Oregon, 97232--227","718 NE 12TH AVE, PORTLAND, OR, 97232",-122.65355,45.52805,157605098,R
